disbursed_amount,asset_cost,ltv,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,NO.OF_INQUIRIES,loan_default
59013,66810,89.81,1,0,0,0,0,0,0,0,0,0,0,0,1202,0,0,0,0,0
33719,72213,49.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63740,91000,73.91,28,6,0,277846,272000,272000,0,0,0,0,0,0,810610,0,4,0,1,1
47849,65825,75.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58947,97500,62.56,1,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,1
40909,52520,81.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58947,72137,84.56,8,3,1,1838163,1811167,1806643,0,0,0,0,0,0,14373,0,1,1,0,0
51103,69777,75.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58923,86752,72.62,3,1,0,22000,22000,22000,0,0,0,0,0,0,2051,0,1,0,3,0
61800,74595,84.46,1,1,0,59784,54400,54400,0,0,0,0,0,0,0,0,1,1,0,1
53249,64100,88.92,1,1,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0
36939,64012,59.36,2,2,0,101712,111339,111339,0,0,0,0,0,0,82000,0,0,0,0,0
81409,114798,74.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47349,65976,75.79,1,1,0,1988957,2100000,2100000,0,0,0,0,0,0,0,0,0,0,0,0
42394,56085,76.67,1,1,0,1555776,2040000,2040000,0,0,0,0,0,0,18681,0,0,0,0,0
74691,92633,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48749,66908,74.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78733,107414,74.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60947,73000,84.93,31,4,1,84794,101837,101837,0,0,0,0,0,0,472575,0,2,0,2,0
46379,63630,75.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42394,63051,69.78,2,1,1,52146,59000,59000,0,0,0,0,0,0,660,0,0,0,0,0
52162,63363,85.0,11,3,0,85151,123206,146436,0,0,0,0,0,0,9890,0,0,0,1,0
33484,42657,79.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55499,66454,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50403,70003,73.85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63447,76348,84.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
62327,73000,87.67,2,1,0,0,11499,11499,0,0,0,0,0,0,1830,0,0,0,0,0
54959,62500,89.6,2,1,0,10787,20779,20779,3,3,0,3219,24249,24249,3995,0,2,0,0,0
50900,59145,87.92,23,5,0,16275,104500,104500,0,0,0,0,0,0,4889,0,2,0,0,0
43204,60211,78.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58413,66910,89.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42014,62695,70.18,3,1,1,283,283,283,0,0,0,0,0,0,2589,0,0,0,0,0
82033,111500,74.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58613,78568,77.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52803,68750,79.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52803,63636,84.86,5,2,1,4676,67250,67250,0,0,0,0,0,0,1566,0,0,0,0,0
44849,59526,78.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52578,68687,78.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59259,74500,80.54,10,2,0,433774,900000,900000,0,0,0,0,0,0,31218,0,0,0,0,0
43394,70387,62.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53003,80500,66.71,12,6,0,1881885,2223597,2159644,0,0,0,0,0,0,5427,0,3,1,1,1
42462,70212,64.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56259,100000,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50413,76280,69.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94505,163827,60.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27529,76892,37.72,1,0,0,0,0,0,0,0,0,0,0,0,1199,0,0,0,0,0
78079,105785,74.68,2,1,0,8470,14826,14826,0,0,0,0,0,0,3224,0,1,0,1,0
56259,72400,80.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80136,114280,74.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50078,58965,88.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35439,60307,61.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58259,80765,74.29,1,1,0,258534,500000,500000,0,0,0,0,0,0,11948,0,0,0,0,0
56459,72527,79.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48600,67591,73.97,1,1,0,96148,99800,99800,0,0,0,0,0,0,0,0,0,0,0,0
46649,65100,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38894,133201,30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53078,72800,74.18,2,2,0,892815,946180,946180,0,0,0,0,0,0,9308,0,0,1,0,0
49735,64012,83.07,2,2,0,15192,58490,58490,0,0,0,0,0,0,0,0,1,0,0,1
45950,68204,69.57,8,4,4,1502439,1771000,1771644,0,0,0,0,0,0,21376,0,0,0,2,1
52703,105451,52.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47649,67681,72.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53313,72266,76.52,13,2,0,87334,130000,130000,0,0,0,0,0,0,26738,0,0,0,1,0
66169,100104,67.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46373,60598,84.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52078,66793,79.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57459,71047,83.04,1,1,0,1474,8859,8859,0,0,0,0,0,0,1477,0,1,0,2,0
57659,74877,78.8,1,1,0,99884,132000,132000,0,0,0,0,0,0,0,0,0,0,0,1
33484,71949,48.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41269,61625,73.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64582,82700,79.81,1,1,1,122910,387000,387000,0,0,0,0,0,0,7353,0,0,0,0,0
39442,72726,57.75,3,2,0,130529,135961,135961,0,0,0,0,0,0,3267,0,2,0,2,0
55259,67600,84.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90160,134952,68.91,6,3,2,238755,458577,458577,0,0,0,0,0,0,18552,0,1,1,1,0
47500,68115,71.94,3,2,0,50239,55589,55589,0,0,0,0,0,0,4105,0,1,0,1,0
61213,80813,77.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41774,48880,87.73,0,0,0,0,0,0,1,1,0,0,21000,21000,0,0,0,0,0,1
69817,80040,89.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66382,85607,79.43,9,4,0,34774,52486,52486,0,0,0,0,0,0,1868,0,9,0,2,0
57259,73201,79.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54259,66135,84.68,1,1,0,3749,7312,7312,0,0,0,0,0,0,1341,0,1,0,1,0
40394,76728,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55013,72501,77.24,2,2,2,37043,50000,50000,0,0,0,0,0,0,0,0,0,0,0,1
50264,71141,72.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47349,59180,82.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32984,73100,46.24,1,1,0,1365000,1365000,1365000,0,0,0,0,0,0,0,0,0,0,0,0
55499,67630,85.0,10,4,0,73643,107490,107490,0,0,0,0,0,0,0,0,2,0,0,0
55163,74814,74.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45749,63477,74.04,2,1,0,455880,455880,455880,0,0,0,0,0,0,1649,0,2,0,1,0
45349,82397,57.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57479,69489,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68882,92097,76.01,11,7,3,1363223,1647063,1647063,0,0,0,0,0,0,21142,0,1,1,1,0
66882,94930,72.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57559,69784,84.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58013,69465,84.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51703,66660,79.51,6,6,0,1223413,1279745,1279745,0,0,0,0,0,0,13454,0,4,0,0,0
48849,78485,63.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43160,67070,67.09,1,1,0,4247,17000,17000,0,0,0,0,0,0,0,0,0,0,0,0
58657,74440,84.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55531,70018,80.72,3,2,0,3339,44039,44039,0,0,0,0,0,0,0,0,0,0,0,0
61147,81818,77.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40054,75873,55.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57013,76436,77.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56500,94551,60.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46349,65700,73.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54659,71862,77.93,8,3,0,45,140386,66565,0,0,0,0,0,0,0,0,0,0,0,0
60347,70909,88.0,2,1,0,9330,16000,16000,0,0,0,0,0,0,0,0,1,0,0,0
71478,86849,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53303,70141,76.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40104,65736,65.41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50578,64480,80.65,11,4,2,400284,644295,644295,0,0,0,0,0,0,2326,0,0,2,1,0
22574,46673,51.42,1,1,0,35829,38537,38537,0,0,0,0,0,0,1799,0,1,0,1,0
86425,117980,74.59,18,6,0,2643893,3075300,3075300,1,0,0,0,0,0,174579,0,2,0,0,0
50578,70898,73.34,5,2,0,26465,50000,50000,0,0,0,0,0,0,5001,0,0,0,0,0
46440,60533,78.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48578,70605,71.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38260,71365,54.65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49202,65705,79.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46849,71940,69.5,1,1,0,57726,228000,228000,0,0,0,0,0,0,0,0,0,0,0,1
54303,66194,83.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46369,63490,77.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36439,75338,50.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38141,84014,47.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53139,77737,72.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60505,110505,56.11,5,3,3,54239,74000,74000,0,0,0,0,0,0,1499,0,0,1,0,0
63213,77132,82.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50998,90117,59.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61797,80394,78.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59647,68000,89.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61432,76104,82.91,39,11,23,1590695,4677666,4682205,0,0,0,0,0,0,98442,0,0,0,0,0
67959,85990,80.58,10,2,1,18744,83362,83362,0,0,0,0,0,0,568615,0,0,1,0,1
81686,110403,76.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55397,66750,85.0,1,1,0,16330,25000,25000,0,0,0,0,0,0,1675,0,0,0,0,1
32439,72575,46.85,1,1,0,4872,17067,17067,0,0,0,0,0,0,2439,0,1,0,1,0
59447,71550,85.26,1,1,1,54838,150000,150000,0,0,0,0,0,0,0,0,0,0,0,0
49803,74728,67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61947,79321,79.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58159,80668,74.38,2,1,1,6796,16990,16990,0,0,0,0,0,0,0,0,0,1,0,0
34699,46888,78.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52078,63160,85.5,4,1,0,22163,45180,45180,0,0,0,0,0,0,5694,0,0,0,0,0
57083,68426,89.15,6,2,0,53918,60000,60000,0,0,0,0,0,0,10344,0,2,0,2,0
55833,83807,70.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47349,75798,63.99,2,1,0,12998,26000,26000,1,1,0,0,11500,11500,4334,1150,1,0,0,0
56259,77920,74.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36839,63400,59.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78751,100029,79.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72717,104090,71.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56459,88335,67.92,1,1,0,5016,48000,48000,0,0,0,0,0,0,0,0,0,0,0,0
68467,78900,89.86,4,1,0,258617,697400,697400,0,0,0,0,0,0,1805,0,0,1,0,0
47749,65545,74.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40544,50000,85.0,7,4,0,369485,407700,407700,0,0,0,0,0,0,2864,0,2,1,0,0
50303,62292,83.48,2,2,0,68641,75084,75084,0,0,0,0,0,0,0,0,1,0,0,1
50803,62951,81.81,3,1,0,4725,6971,6971,0,0,0,0,0,0,4421,0,1,0,1,0
48545,62580,79.9,10,3,4,16908,127900,127900,0,0,0,0,0,0,17260,0,0,1,0,1
55269,67428,86.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67882,86754,79.54,5,2,0,282265,290000,290000,0,0,0,0,0,0,12104,0,3,0,2,1
59947,78013,79.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77001,125000,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65169,74506,89.25,12,5,1,1013116,1358873,1358873,0,0,0,0,0,0,497024,0,2,1,0,0
60138,68786,89.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61713,81649,77.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56225,80349,73.93,1,1,0,4768,9300,9300,0,0,0,0,0,0,1644,0,1,0,1,0
65882,76074,89.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56253,65467,88.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55609,70669,80.66,8,1,0,24445,35000,35000,0,0,0,0,0,0,12893,0,0,0,0,0
55659,74186,76.83,11,1,1,715888,850000,850000,0,0,0,0,0,0,34153,0,0,1,0,0
57529,66002,89.39,6,3,0,400,47390,47390,0,0,0,0,0,0,3666,0,0,0,0,0
52303,72488,73.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58688,75241,80.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56759,73585,78.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35439,69534,51.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65882,75080,89.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52578,68012,79.84,1,1,1,12120,56000,56000,0,0,0,0,0,0,0,0,0,0,0,0
77886,102399,78.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38739,64750,61.78,1,1,0,9973,14961,14961,0,0,0,0,0,0,2606,0,1,0,1,0
58513,69655,86.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54996,62334,89.84,4,3,0,23734,42654,42654,0,0,0,0,0,0,2802,0,2,0,1,0
66492,101435,68.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49703,65215,78.2,5,2,0,387842,435180,435180,0,0,0,0,0,0,7194,0,1,0,0,0
47945,54295,89.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50442,69300,74.23,5,3,0,793248,813254,813254,0,0,0,0,0,0,0,0,3,0,2,0
45869,64251,74.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51603,70095,75.61,6,1,0,91142,85000,85000,0,0,0,0,0,0,85000,0,0,0,0,0
55259,74092,76.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70667,97785,73.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62213,87915,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55659,65260,87.34,1,1,0,45152,53218,53218,0,0,0,0,0,0,3323,0,1,0,1,0
54373,97318,58.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54459,75932,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35775,61500,60.16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25529,61123,42.54,1,1,0,9860,40000,40000,0,0,0,0,0,0,0,0,0,0,0,0
38175,67812,58.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58259,78166,76.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52803,68149,79.24,2,0,1,0,0,0,1,1,0,0,52748,52748,1642,0,0,0,2,1
46449,63241,76.06,8,4,0,293398,761000,685035,0,0,0,0,0,0,0,0,0,1,0,0
49700,68590,74.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54689,63800,89.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45045,58000,80.17,5,2,0,1080554,1378000,1371164,0,0,0,0,0,0,0,0,0,0,0,1
51303,65124,81.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61947,87418,73.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54500,70927,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55259,64519,88.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55959,74114,76.5,3,3,0,560888,1086289,1086289,0,0,0,0,0,0,2349,0,2,0,0,0
91018,176440,53.84,1,1,0,19490,19490,19490,0,0,0,0,0,0,0,0,1,0,0,0
53593,75990,73.69,2,2,1,236525,281819,281819,0,0,0,0,0,0,0,0,0,1,0,0
35539,63477,58.29,1,1,0,2870,8083,8083,0,0,0,0,0,0,0,0,0,0,0,0
65382,90576,73.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51553,71308,74.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54815,98542,58.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49349,67935,73.6,2,1,0,9000,13500,13500,0,0,0,0,0,0,0,0,1,0,0,0
66882,117399,58.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43394,91881,48.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74179,95846,78.77,12,12,0,384466,505052,505052,0,0,0,0,0,0,9718,0,8,0,0,0
40394,62707,66.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54159,101616,54.52,2,1,0,0,3000,0,2,1,0,290456,294236,294236,2078,6000,0,0,0,0
52703,64810,83.32,2,1,0,17132,66000,66000,0,0,0,0,0,0,0,0,0,0,0,0
61134,85572,73.04,14,1,0,19621,30000,30000,0,0,0,0,0,0,20496,0,1,0,2,1
45845,68700,69.43,8,2,0,80226,108000,108000,0,0,0,0,0,0,15717,0,1,0,1,1
52803,61187,89.07,1,0,0,0,0,0,0,0,0,0,0,0,1115,0,0,0,1,0
41394,73240,57.35,3,2,0,18122,29000,29000,0,0,0,0,0,0,0,0,2,0,0,0
55513,63676,89.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
47949,73160,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44849,60154,76.47,1,0,1,0,0,0,0,0,0,0,0,0,1442,0,0,0,1,0
56889,67800,85.0,4,1,0,4060,27000,27000,0,0,0,0,0,0,6060,0,0,0,0,0
52078,72679,74.3,20,1,0,25866,26845,26845,0,0,0,0,0,0,17182,0,1,0,0,0
50078,59213,86.13,11,3,0,79121,126364,129932,0,0,0,0,0,0,0,0,0,0,0,1
51078,66922,82.19,14,2,0,57221,75945,75945,0,0,0,0,0,0,18728,0,1,0,1,1
48349,78100,64.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73717,108000,69.35,1,1,1,55460,73000,73000,0,0,0,0,0,0,0,0,0,0,0,1
47349,72000,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52072,74463,70.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80533,115600,71.37,8,4,0,258576,165000,165661,0,0,0,0,0,0,8221,0,0,0,0,0
41514,57295,76.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26881,86370,32.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49538,100698,51.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57013,69955,84.34,3,2,0,42938,66000,66000,0,0,0,0,0,0,5435,0,1,0,0,0
86789,100257,87.77,10,3,1,51633,137000,137000,0,0,0,0,0,0,7160,0,0,0,0,0
51448,60457,89.32,5,2,0,44412,57000,57000,0,0,0,0,0,0,8970,0,1,0,2,1
48878,68786,73.13,0,0,0,0,0,0,5,2,0,201527,169000,169000,0,5082,1,0,0,0
64669,74000,89.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88555,116000,78.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49349,66133,75.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52303,60123,88.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38141,66300,60.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66382,76000,88.82,1,0,0,0,0,0,0,0,0,0,0,0,1513,0,0,0,0,0
54513,72070,77.01,10,5,3,162184,418406,418406,0,0,0,0,0,0,8040,0,1,2,1,0
78079,109009,73.39,1,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0,0,0
44650,73301,63.17,6,1,0,63161,65000,65000,0,0,0,0,0,0,8970,0,1,0,1,0
57259,69638,84.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68869,112000,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55513,72046,79.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53078,62090,88.58,2,0,0,0,0,0,0,0,0,0,0,0,2957,0,0,1,0,0
43939,80100,58.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51578,76921,69.55,6,2,0,17605,40000,40000,0,0,0,0,0,0,16180,0,1,0,0,1
62947,80000,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51803,69099,76.7,2,1,0,779,30000,30000,0,0,0,0,0,0,1354,0,0,0,0,0
57013,68270,86.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43394,58378,75.37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50303,69733,74.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51503,64100,82.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44681,64950,71.56,10,8,1,97480,265587,265587,0,0,0,0,0,0,7592,0,3,0,0,0
56959,68479,84.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28529,75738,38.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67482,76330,89.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43499,60259,74.93,6,3,0,37460,95000,95000,0,0,0,0,0,0,13010,0,0,0,0,0
60247,79408,77.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58259,75961,78.99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51703,68012,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57100,72671,79.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33341,50178,69.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52464,75386,70.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41114,58161,74.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55513,63500,89.76,10,2,1,5778,59000,59000,0,0,0,0,0,0,0,0,0,1,0,1
59947,69000,89.86,2,2,0,10746,20957,20957,0,0,0,0,0,0,3322,0,1,0,1,0
54013,66710,83.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64382,77079,85.63,1,0,0,0,0,0,0,0,0,0,0,0,1558,0,0,1,2,0
40694,56451,74.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56513,78000,73.72,8,5,0,200823,243000,243000,0,0,0,0,0,0,29111,0,1,0,5,0
59259,81310,73.79,4,3,2,118939,109680,112124,2,0,0,0,0,0,2736,0,0,1,2,0
44349,62425,73.69,1,1,0,16333,21779,21779,0,0,0,0,0,0,2723,0,1,0,0,0
52078,68310,79.78,1,1,0,34360,50000,50000,0,0,0,0,0,0,0,0,0,0,0,1
49803,60000,84.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41669,60593,74.27,6,2,1,38955,283000,176006,0,0,0,0,0,0,1875,0,0,0,0,0
49349,63000,79.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74351,85176,89.93,1,1,1,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,1
55259,71000,78.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50413,65332,81.12,2,1,0,139105,200000,200000,0,0,0,0,0,0,7194,0,0,0,0,1
